text,label
"""

 Moved the article to its full English title 

1) Keeping in line with Wikipedia:Article titles#English-language titles
2) Full title of the work, instead of just its popular abbreviation
3) Any search of bookstores shows that the work is most widely published and available today under its full English title as opposed to any of the Latin variants which were popular during the Renaissance. The current title reflects what the work would most likely be recognized/searched for.

I've also created re-directs for """"On the Mysteries of the Egyptians"""" to here.  """,0
"There are so many articles that wish to down play the parts of the JW religion that they really don't understand.  I will not go back in and change the article.  If people want to discredit something they don't understand that is ok.  this being said is in no way directed to anyone in particular.  I just find it interesting that people want to write up document reports on religions that they are no part of.  There are pages on Cathlics, Baptist, and other religions that state opinions of people who are not even a part of those religions.  To me and this is personal it is very sad when there are people who will 'critically analzye something that they do not believe in themselves.  oh well.",0
I see you have such a low self-esteem that you have to warn others not to attack you.4.130.134.233,0
"Ed Poor

I shouldn't have to check his edit history. He should reply to me at my Talk page.
I know that wasn't the right page, but what is the right page? That's my point.
I don't want to de-admin him, I want to complain about his actions.",0
"""

That is not a list of official names of official neighborhoods, their is no such list that exists, that is a of neighborhood names, of which more then half are no longer used, that:
""""are taken from  Philadelphia Almanac and Citizens' Manual which was edited by Kenneth Finkel and published by the Library Company of Philadelphia in 1994 and 1995. It has been augmented by the staff of the Philadelphia City Archives.""""

""""The 1994 edition of this book contained 389 different names of various neighborhoods throughout the city of Philadelphia from the earliest days of Swedish occupation to the present. The following year, an additional six names were added to bring the list to 395. This list is being augmented yet again by the Philadelphia City Archives with names of neighborhoods, redevelopment areas, and other place names which have been assigned officially or unofficially to certain areas of the city. It is interesting to see the dynamics of neighborhood naming in over 350 years of occupation of the 129 square miles which comprise Philadelphia by the Native Americans, the Swedes, the English and German pioneers, and later and current Philadelphians."""" 

 |  trácht ar """,0
"Yes, merge - Chamin and Cholent are one and the same. Cholent is the Yiddish term, which is the mostly widely used, whereas Chamin is Hebrew and mainly used in Israel (primarily by Sephardi/Mizrahi families).",0
""", 26 July 2014 (UTC)
, there are a number of key words or red flags on Wikipedia. They have a very strong effect in the community. Disruptive editing is one of them. If you want to abuse your position as a trusted editor here, you say the editor you have a difference of opinion with, is """"disruptive"""" when he or she simply has a different opinion - as you so correctly mentioned. Confidently demonstrating with reliable sources that a statement is an encyclopedic statement appropriate to be on WP is not disruptive editing. However the term disruptive editing is one of a number of terms abused by abusive editors on WP. It is very disheartening when some """"trusted"""" editor immediately use that term against you when you simply have a different opinion. They know the power of that word, that is why they use it. There are a number of these """"power"""" words used in the WP community. Abusively using this tactic is a personal attack - in my opinion. The other editor involved here also stated my contributions in various articles is wasting Wikipedians´ time. He also considers the fact that I address you and other editors by name as something that can be used in a negative way against me.   11:07""",0
"I'm just going to state, as I have observed, that the LPs do not state that there is a surname. A House and Family does not mean a House and a surname. There is a House of Oldenburg which is also the Oldenburg family, for instance. Royal birth certificates do not use a surname. Charles, Prince of Wales did not use a surname on his marriage certificate. How is it clear that the Royal Family did and does have a surname?",0
"no worries 

We will use another account, and will not stop until wikipedia stops pushing the evil, sin filled gay agenda",1
Do not repeatedly add nonsense to articles -,0
"Question 

Hello Latics, I noticed that you revert vandalism occasionally. Would you like me to grant your account rollback rights to make vandal-fighting easier for you? Just remember that rollback, like Twinkle, should only be used to revert vandalism, and that misuse of the tool can lead to its removal. Tell me what you think. Thanks.",0
"""

Murphy Arts Center copyvio

Could you confirm the URL of the copyvio source http://homepage.mac.com/i/hpti/1/wimg/Shared/SlideShow/SlideShow.html?lang=en is the correct URL, as it doesn't work properly for me. I've removed the suspected copyvio content in the interim.  land """,0
"By the way, who do you think you are, warning me about removing totally unrelated music tracks from a disco-listing? Trust me, you're not the only person on this planet who has been (or still is) involved in disco since the seventies. Get offa that clowd, why don't you? I have done more radio than you ever will, so don't talk to me like I am anti-radio or something.  12:34, 8 Jun 2005 (UTC)",0
Renzoy16 ! Shut The Fuck Up,1
"Hey 

 Everybody's doing it! Ahh..relief]]",0
"""

 email 

I just used the """"email this user"""" function.  How can I get ahold of a copy of the email I just sent?  Thanks,  (Karwynn) """,0
"""::::::::::: No. I never said one is better than the other, they are equally biased - I have never used talltale anywhere in fact. Balakian copied verbatim his information from Dardian who says he got it from Vakit newspaper - whcih I explained many times already - which nobody alive or dead has corroborated. Nobody can verify the Vakit article - this is made up point of and biased. I am not telling you again why you can NOT use Armenian sources. You need to read this page, and pointed everything, if you have a problem with those, then respond. Otherwise, I am warning for the last time, stop vandalising this page. You are also doing """"soapbox"""" advertising the Armenian Political agenda.  

""",0
"AC WPWW 

Hi. I don't know if you've seen the conversation at Wikipedia talk:WikiProject Women writers#Authority control. It's a huge project, and really needs to include all writer bios, not just women writers, but sticking with WPWW scope, it would be limited to women's. Probably bot, not AWB, right?",0
"""

 I hope you are having a great holiday and at your convenience could you please get back to me 

I want to first congratulate you on over 21,000 contributions.  I know first hand the feeling you get when achieving great things.  You and your fellow administrators have made, and continue to make, Wikipedia a brilliant place to go for correct information.  I want to apologize if the page http://en.wikipedia.org/wiki/Brian_J._Esposito (Brian J. Esposito) violated any of these internal rules.  I was under the impression that my accomplishments which were sourced by companies such as Inc. Magazine, Hearst Publications, BIR Report, Beauty Store Business, Asbury Park Press, KikScore, The National Retail Federation, NRF and many more were valid enough.  I would like to work with you in correcting any issues and to have this page restored.  I am continuing to make great strides for my companies, employees, and my family.  Having this page also acted as a way of helping me continue to accomplish my goals and dreams.  I look forward in hearing back from you and also learning from you on how to correctly do the right thing when it comes to Wikipedia.

Thank you for your time,

Brian J. Esposito
CEO - AVEYOU Beauty Boutique
CEO/President/Founder - paybaQ  — Preceding unsigned comment added by  (talk • contribs)  
 It wasn't really so much my decisioon to delete this as my enforcing a consensus of editors at Wikipedia:Articles for deletion/Brian J. Esposito. I'd suggest that  thorough reading of  if you are interested in getting back but, frankly, we are non profit project not a vehicle for self-publication and promotion and I would advise you to stay away from the page to avoid a conflict of interest.  Humbug! 

Thank you very much for taking the time to get back to me regarding this issue. By no means was the page created to self promote or profit. It was added and continued to be updated with all the great work we are getting done at Salon Professional Services, Inc, and paybaQ. All the articles, mentions, and partnerships displayed that success. Especially the work we did together with Microsoft in helping small business around the globe. I apologize if the page came across looking in any way a violation to the policies. I have reviewed the page and am not sure what else can be done to correct this and hopefully have it un-deleted. There are real credited milestones and achievements myself and my team have reached. We also have a few more credits including a book released by the Small Business Association which we have a big part in, and the Internet Retailer 2011 Edition 500.

Thank you for your continued help and I hope you are having a great day, and had a beautiful vacation,

Brian  — Preceding unsigned comment added by 67.85.133.135   

 Just being friendly 
SwisterTwister has given you a cookie! Cookies promote WikiLove and hopefully this one has made your day better. You can Spread the """"WikiLove"""" by giving someone else a cookie, whether it be someone you have had disagreements with in the past or a good friend.  

To spread the goodness of cookies, you can add  to someone's talk page with a friendly message, or eat this cookie on the giver's talk page with !
  I know how working hard on Wikipedia can build up an appetite, so I hope this cookie will make your day.  talk 

Thank you very much for taking the time to get back to me regarding this issue.  By no means was the page created to self promote or profit.  It was added and continued to be updated with all the great work we are getting done at Salon Professional Services, Inc, and paybaQ.  All the articles, mentions, and partnerships displayed that success.  Especia",0
"""

 Third-party observations left at User_talk:Elonka#Re:_NPA_claim_against_Josiah_Rowe. Talk """,0
"""
In this instance I don't believe there is much potential for conflict of interest. First, none of the surgeon's themselves appear in involved in the creation or maintenance of this page. Second, the page provides basic general information. Third, most of the well known practitioners are listed and provided in alphabetical order. Fourth, the listed surgeons are hardly in need of """"extra"""" business, since of all them have quite long waiting lists. Fifth, their potential patients are generally internet connected and quite likely to utilize searches to locate informaton about them. Sixth, given the nature of this particular type of surgery, and the generous people who perform it often at risk of criticism from some biased groups, should not be hidden from view or made to appear marginalized in any way.  

""",0
Top 100? NO WAY! Look at all the great base stealers and Hall of Famers that would be deleted from this list. The list should stay the same with the top 500 because 150 steals in a career is still a notable stat.,0
"""

QuackGuru
Good luck with your communication attempts, and thanks for the help.  If you'd like another challenge, you might want to read the discussions that I have been having with Ronz (about the same topic area as QuackGuru is referring to), and see if you can help communicate with him as well. I won't give you the details of the situation so you can come in """"fresh"""", but there's plenty to read on my talkpage (and archives), and also on Ronz's talkpage (though you'll also have to go into the history of his page since he often deletes my messages).  Or you may just wish to post a note on his talkpage and say, """"Ronz, I hear you're asking for a mediator in communicating with Elonka, may I help?""""  onka """,0
"Suck my dikkkkk ==
Suck my dikkkkk Gogo Gogo giving blowjobs on demand",1
"Still you dihoest self
Looks yur integrity hasn't improved.",0
"please do not write me more!! Silly 

Perhaps no one has told you but you're obviously frustrated and I would like that please do not write me more. For my part I have decided that I will not bring anything more to wikipedia, because wikipedia is a monopoly of information manipulated by a lot of abnormals like you.",1
"You're a jerk! 

You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
You're a jerk!
JACKASS!!",1
"hi kannadiga shame on you 

You look like a terrible ass now with that false citation, Kannadiga. Where did you say Urdu originate? Africa? Despite all the lies and idiocy you spewed, you and a handful of Kanndadigas think you are a valuable encyclopedic contributor!",1
"""

Your use of multiple Wikipedia accounts
""",0
"""

To Paul B or whomever has taken the responsibility for editting this work. While I admire your dedication to upholding a neutral point of view in this article. I must voice the opinion that you're lack acknowledgment towards the fact that he is/was a controversial figure to Indians is not in-line in general with wikipedia. There are many examples of articles on this website that provide info about controversial issues in a neutral position while usually providing material for and against the issue. I think that that would be the only way to present a truly fair and neutral portrayal of Max Muller. One other consideration for yourself would be what is you consider a mainstream opinion, because I am sure that you are aware of the politics that goes into getting a paper published and the biases that can play for or against it. Finally, your vehement refutation of other sources based on """"who is he?"""" shows your own inability to question and research into ideas contradictory to others. I would recommend that if you are going to portay a neutral article, please do so by giving both sides of the story. Incidentally, I'm not a nationalist and I'm not a member of hindutwa; I am however a person that likes to search for and be presented with all relevant informations whether they are contradictory to my own opinion or not. - Raj""",0
"That is a useful correction, but was the number of settings that had to be searched in the bomy and bombes still 17,576?",0
Seems a reasonable request reasonable to me.,0
"you just made my point, that was my addition, volunteer moved it.",0
"Definition of Web on Internet page
I take issue with the definition of the WWW on the Internet page - a collection of documents?  Wouldn't it be more accurate to say that the web is a graphical interface we use to access files on the Internet?  Because don't lots of people now say they're going to upload a video to the web, or download a podcast from the web?  They don't say they're going to go look at an HTML page with some Ajaxy stuff that allows them to view a video.",0
"Once again, leave me alone. You are bothering me for the sake of bothering me. You don't even need to reply. Just stop typing and pressing Save on my User:Talk, please. Thank you.",0
"""

""""Nevada"""" meme
On checking all reliable sources I could find in the article, I could find nothing about this whole """"Nevada"""" thing, much less a reference to a nickname (which in any case appears to have been given to the killer after the crime).  Since it merely seems to be an internet meme, and even the Wikipedia article claimed that there was no knowing whether the Nevada pictures related to the killing, I've removed the references.  If the girl in the Nevada pictures is not known from reliable sources to be the killer, it's obviously grossly irresponsible for us to represent the pictures, and the unreliable websites that refer to them, as those of the murderer.  If we can come up with a reliable source that actually refers to the Nevada meme, then we can document it as such. Anticipation of a New Lover's Arrival, The """,0
"You lengthned my block again to two weeks??????? For what now, for living? 

ADMINS, PROTECT ME FROM AGRESOR KAFZIEL.",0
"December 2008 
 Please stop removing speedy deletion notices from pages that you have created yourself. If you continue, you will be blocked from editing Wikipedia.  Do not replace the speedy deletion templates with the hangon template. Put the hangon template below it.",0
"TV Newser is a blog about journalism by professional journalists, so I think that is exactly the kind of source we need here.",0
No difference.Simply two branches of the same nation.,0
"""

 Your Tool2 edit count summary 

I was wondering if your count summary used on Tangotango's RfA was self-made or generated by a bot. If the latter, I may like to write one. Thanks.  T """,0
"True. But then our remarks on this obscure webpage haven't been either. So your WP:OR is of no consequence. Either find a reliable souce that states that Elvis was Jewish, and explains why, or drop the argument.",0
"Tekken ^ 

On G4 they said tekken will be on #60 also. http://www.g4tv.com/thefeed/blog/post/689944/Tekken_6_On_The_PS3_360_Fall_2009.html .",0
"The title issue is a little more serious than you are giving it credit for. There is a format for titles at Wikipedia, and they should make sense in English, which this one doesn't, being ungrammatical. And don't think that there aren't a good number of users who will think that there is indeed a separate Catholic Virgin Mary. That is an accusation of some protestant evangelical groups at the moment. So it would make sense to listen a little to what other people are saying. The present title is ungrammatical and misleading and should be changed - as per my suggestions or in some other way. 212.140.128.142",0
"You got it! 

OK, looks like you have the right idea now, Liam.
Let me know if you have any questions.",0
"by the way i remember the first israeli claims shortly after the attack against the ship and the killings, according to which the activists had firearms with them on bord and also that on the freight for gaza were such...",0
"""

 Unauthorised change 

On 26 January 2014 (i.e. just in the last few weeks), User:Mzilikazi1939 changed this article from the standard form of writing dates in the English language to CE/BCE. As he well knows, this violates WP:MOS, specifically WP:ERA, which requires that any change to an article's date style first be discussed on the talk page and justified with article-specific reasons before consensus is established and the article is then ready to be changed. As is clearly evident to everyone, none of these steps have taken place in this case.

Instead, in the two and fro of the last few weeks as Aesop has gone back and forth between the Queen's English and CE/BCE, Mzilikazi and his friends have claimed that the comments much further up this talk page and dated 20 months ago constitute the necessary discussion and consensus for the change of 26/01/14. Apart from the obvious fact that the article remained in the standard English state for 20 months continuously (May 2012 to January 2014), those comments were never enough to justify the change to CE/BCE even back then. This is of course because, as mentioned earlier, WP:ERA requires that article-specific reasons be given and consensus established. Neither occured then. What we see from 2012 can at best be called a disgrace; it was merely Dougweller and his friends making the laughably fallacious and tendentious claim that because there were more of them, they should automatically get their way without having to justify their case or convince anyone of it. The """"discussion"""" went quiet in its unresolved state and the change from the Queen's English (which the article has used since its creation and the overwhelming majority of the time since then) to CE/BCE therefore didn't proceed, at least until 20 months later when Mzilikazi decided to try again, this time without any attempt to follow the proper procedure.

If Mzilikazi and his friends want to legitimately change Aesop from the established English language abbreviations to CE/BCE then by all means discuss it here and follow the proper process. Stop trying to ram through your illegal change with constant back and forth editing. (  )""",0
"""

 Ambarish Srivastava 

Ambarish Srivastava
Good evening sir, above article Ambarish Srivastava was nominated for deletion review on 2010 February 14. The result of the discussion was moved to main space. You have participated in that discussion. It was thoroughly checked and edited by you also. I am grateful to you for your kind support at that time. At present Mr. 'SpacemanSpiff' who nominated this article for AFD previously, has deleted its major part under 'poetry' section which was cited properly. As well as he also deleted it's whole 'Architectural works' section on Yesterday 19:01, 16 December 2010 and 19:03, 16 December 2010. I contacted Mr. 'SpacemanSpiff' on his talk page where he answered to me """"You can not use photographs of buildings as references for works by the person, we need reliable source references. Likewise, user submitted content sites are not valid references for poetic contributions and linking to every poem on such sites runs afoul of our external links policy. Suggest you read WP:BLP and WP:NPOV"""". If that content was not was as per WP:BLP and WP:NPOV then why he could not deleted it previously when this page was moved to main space, while Mr. 'Fayenatic london' has made some quarries about it on 18:46, 20 August 2010, 18:49, 20 August 2010,18:53, 20 August 2010, 18:58, 20 August 2010, 19:05, 20 August 2010 & 19:12, 20 August 2010. He was satisfied with my answers about those sections. I request you to check it. Is it justified? if not please help it. Thanks a lot.   """,0
"Actually, the real-world sources and policy are with us, and there was no consensus. -",0
"The permissions on those are as they were. Since you seem to understand the permissions process better than I, feel free to take whatever action you feel is necessary to get the official ducks in a row.",0
"""

 Sockpuppet? 

Oh no Stifle. Just what do you think your doing? I've worked too hard for you to do this. And why? Dont assume, look at my contributions and what have I done? What ties me to """"Smugface"""" (as you and every second person belives)? And what sets us apart? CONSTRUCTIVE EDITS! Thats bloody what! 

Remove or find an answer.

  

Not happy Jan!

 Could we not discuss this in the stead of dirtying up each others pages?   
Your contribution patterns are very similar - very little article contributions, causing general annoyance, and yelling at anyone who tries to call you on it.   """,1
"Pro-life Alliance 

The article Pro-Life Alliance has been nominated for deletion.",0
""" You're a dumb American, right? No degree? Knows nothing of engineering? Thinks mathematics is """"universal""""? Played monopoly in high school instead of learning? How am I doing so far?""",1
"Well to answer the IP it should be any player who Nadal has played, who has appeared in the top 10 at some point.",0
"how funny 

how funny",0
Please do not carry on conversations with other users on my talk page. That is why you all have talk pages. Thanks!,0
I know it's almost a year after the fact...but the fact is most banks do that. Happened to me when I was at another bank.,0
"""
Second verse, same as the first? https://secure.wikimedia.org/wikipedia/en/w/index.php?title=Special:RenameUser&reason;=WP:USURP&oldusername;=Flynx&newusername;=Flynx_%28usurped%29&suppressRedirect;=1 (I know you can't see, but does not checked)... –xenotalk """,0
]] or Swansea Bay articles,0
"Definitions 

Soap box
1. TABAlso, soap box. an improvised platform, as one on a street, from which a speaker delivers an informal speech, an appeal, or political harangue.

ha⋅rangue
   /həˈræŋ/ Show Spelled Pronunciation [huh-rang] Show IPA noun, verb, -rangued, -rangu⋅ing.
–noun
1. TABa scolding or a long or intense verbal attack; diatribe.
2. TABa long, passionate, and vehement speech, esp. one delivered before a public gathering.
3. TABany long, pompous speech or writing of a tediously hortatory or didactic nature; sermonizing lecture or discourse.

kangaroo court
 
–noun
1. TABa self-appointed or mob-operated tribunal that disregards or parodies existing principles of law or human rights, esp. one in a frontier area or among criminals in prison.
2. TABany crudely or irregularly operated court, esp. one so controlled as to render a fair trial impossible.",0
"Am i going mad 

i was on steven segal page this morning and i'm sure it said on the 25 Aug 09 steven segal
had a heart attack on the film set did i read this or am i going mad

26 Aug 09",0
"""

Then I think you may be missing something.  The EU box art is replete with JPG dithering all along the left side and in random other spots.  The U.S. version is near crystal clear with no evidence of pixelation or dithering or smudging, as is present in the EU version.  As I said in my edit notes, I have no problem with the EU version being used at such a time when a higher quality version is found.  The """"revert war"""", as it were, was started by the other editor, who for no legitimate reason reverted my edit. —''''''T C W """,0
"""

Advice
To save me writing too much, a lot of this is going to be links to existing policies and guidelines - there is plenty of advice available, in fact a confusing amount, so pointers may be helpful. The guide to writing Your First Article and the Business' FAQ are particularly useful.

Wikipedia frowns on writing about your own organisation because of worries that someone with a conflict of interest will not be able to write from the Neutral Point of View which is one of our three key content policies. (The others are Verifiability and No Original Research). However, the anonymity of account names means it can't be prohibited, and it may be better to have a declared interest than somone pushing a case anonymously.

It should be possible for you to write an article about your organisation that won't get deleted, if you are careful. The first essential is to avoid any hint of promotion - be drily factual, as though you were unconnected with the organisation and had no interest in it, but were documenting it for completeness. See the guideline on peacock terms.

The next point is likely to be the problem if your organisation is new - notability, which is the Wikipedia term for """"of enough general interest for an encyclopedia article"""". See the guidelines on Notability and Notability (organisations and companies). What you have to do is find references from reliable sources which are independent of you. Your own web-site etc are not considered independent. Has there been comment on your organisation, e.g. in the trade press? It may be that you will have to wait until you are more established and can cite independent references.

I wrote the above off-line: now that I come to post it, I see you have run into another problem - copyright. That's more of a problem than you might think, because everything in WP must released under the """"GFDL"""" which says that anyone may do anything with it including rework it for commercial use - so just saying """"I agree to this being put in"""" is not enough. The notice above tells you what you can do, but for the reasons in my third para above it is very likely that your mission statement will not be in suitable terms for Wikipedia, so the solution to the copyright problem may well be to rewrite it. That leads me to a last warning: an important difference between Wikipedia and a business directory is that you will not own your article - see WP:OWN - other people can and will edit it. See the warning at the bottom of the page you use to edit: """"If you don't want your writing to be edited mercilessly or redistributed for profit by others, do not submit it.""""

Regards,   """,0
I thought he was Greek!!,0
"""

 Please do not vandalize pages, as you did with this edit to Religious persecution. If you continue to do so, you will be blocked from editing.    """,0
"""

NOTE
 and  continue to vandalize this page by including non-sourced information pertaining to a boyfriend named """"Chad Eagleton.""""  TXmaster uploaded a picture on 2/17 in which he states that he is Chad Eagleton.  These claims are most likely dubious attempts by the two users (who are probably actually the same person) to claim that they are dating Carrie Underwood.  As none of their claims are sourced, I along with several other users continue to delete them.  Neither user has stepped up to the challenge of providing a source for their claims.  Please continue to delete their constant vandalism.  """,0
"Far more honest than this bloated article.  Oh no, disagreement!  *censor stick*",0
"I believe the rule includes non-binding electrons as well as pi bonded electrons too, anyone want to verify this and change it?",0
"Runnymede 

Bob - you've removed a link from a page that I created and developed.
Is that appropriate?",0
"Sorry, you are right I have confused matters. Iwill try to clean it up.",0
"Recent past
Please see user page 129.133.124.199‎",0
your gay douche like gay porno ahaghagagagaa,1
"""

 Well, I was thinking a good article could fall out of it, but I'm just a little unsure where to start. I've found a couple of books to mine though, so there's definitely potential. You're right that the list should be converted to prose. The demolition plans and their opposition also needs expansion. I'll tinker with it a bit later today if I've got a mo.  (talk) (cont) """,0
—The preceding unsigned comment was added by  (talk • contribs) 3 April 2006  (UTC),0
"""

Thank you

Thank you for your constructive contribution to my update on the Jodeci article, re: K-Ci & JoJo.  However, this commet was most uncalled for:

""""(copyedit Mr. Treason additions)""""""",0
"Wikipedia blocks because of their paedo article 

If you go to http://en.wikipedia.org/wiki/Virgin_killer. You will see people and Wikipedia protecting a photo that shows a real underage girl (about 12) in bondage. However, Wikipedia blocks me and not the people who are protecting that photo. I guess that is how Wikipedia is.",0
"Oh, I see that we are working with different definitions of nationality here... but if (and I thank you for bringing up this example) holding American citizenship does not make a person American, what else does - is e.g. Henry Kissinger (born in Germany to German parents, naturalised US citizen) a German politician then? Very tricky I must say! Anyways, was nice talking to you.",0
Do not help the jew Schnider. Final warning.,1
"""

 You are very welcome Mila. By the way you (or we) could perhaps also place a copy of that image on the page Polyceridae ( a fmaily of nudibranchs) because that species ... Triopha catalinae J. G. Cooper, 1863 sea-clown triopha ... is listed there since it belongs to that family. Since the species name Triopha catalinae is linked to a non-existent page, we could even (if we felt like it to) start a new page for that species. (By the way, in English the word nudibranchs is spelled without the """"e"""".) I did try to look up your images on Bill's site, but I was not able to get to the exact page on a lot of them. just a list and at the present time  I did not take the time to try to track it down any further. Maybe I will do that later.   """,0
""":If the title was never actually created, I wouldn't have thought it'd be in the LG. The prior announcement might be, but that is generally just """"To be Barons:"""" followed by a list of names. It sounds like it was discussed and chosen, but he died before it was actually gazetted, so it seems likely there'll only be an informal record of what it was going to be.  (Talk) 

""",0
"Extremely  salient  points. Somethings I  had not  considered. The undeerlying  intention as to  dissuade 100 edit noobs from  running by  makiing  everything  sound so  complicated, while at  the same time, offering.  some encouragement  for those who  have some clue but  are afraid to  come forward. But  you're probably  right  about  the nom  statement. -  I'll  have another look  at  it. A recent RfA tanked suddenly  following  a revelation  by ireonholds - if candidates have skellies in  their closet, the  should do  something  about  before they  run. I  had some in  mine, but  they  were all  over a year  old. Didn't  stop  them from trying  though. Lot of silly  nonsense this morning (my  time) about getting  you  indef'd instead of KC. Ironic really, seeing  as you  have defended his strange behaviour several  times in  the past. Oh well -  time to  bang  my  head at  the wall  again.

I'm  really  here to  let  you  know that  Special:New pages has finally  reached the 30 day  mark today. be interesting  to  know how many  pages are in  that  backlog - I don't  know how to  list  them all.",0
"""
I take it you did read this. Great block, Ryan. andemu """,0
I admit what I did was improper. and it wont happen again.,0
"Tag for possible deletion on Derry City-related photos
I notice you have placed a tag for possible deletion on numerous photographs of players at the club. These are personal photos. Some, I have cropped. Maybe I tagged them incorrectly? Could you guide me as to how to tag them or ensure that they stay on the site? Thanks.",0
"Killer whale attacks on humans 

Re this revert, see here.   (talk) (earlier Boracay Bill)",0
"""
Nico contains a lot of """"in-universe"""" writing, or writing that revolves around the fictitious world of the character. See the link in the tag on the page for more details. Also, if you can find any reliable references on Google, feel free to add them. These two are the least fun things to do, and I'll help.  talk """,0
It's still big C. Can you change it with your admin power? I don't think mere Wpedians can do this kind of thing. If I do cut and paste Mak gets upset. Thanks.,0
"""

I thought it was self explanatory, I guess not. It is not a spoof, it is a freelance article filler for the issue but not taken seriously and the list was not created by a noted music critic or someone of note in the music industry (in Japan this would be someone like Masanori Ito. and the magazine even makes sure to mention it is biased and arbitrary (they even made note of that on the cover) and again my point is, how is this acceptable for the wikipedia? I can't even believe I need to ask that, should VH1 top 10 lists of the """"greatest rock songs of all time"""" etc be listed in the relevant wiki articles as an """"award"""" or """"achievement"""" as well? That is neither an award or achievement. Apart from that, it provides no information to the articles! It is fancruft nonsense. My question was, how is it acceptable for the wikipedia, and especially given the fact it is biased and randomly put together?27.33.143.93  """,0
"""

No. Album """"Roots"""" is mantly groove metal, but song """"Roots Bloody Roots"""" is death metal song. See google. Numbers do not lie.   """,0
"This article included a link to the center for Marcionite research website.  That website is part of GeoCities, and will go offline tomorrow, so I have made the link point to a mirror of the website instead 149.254.58.10",0
"and you are a motherfucking asshole,suck your dick,you dirty son of a whore",1
"Are you sure your Greek is not, lets say native?",0
"I have to say I disagree a little bit on the Colorado and Michigan State games. Appalachian State definitely deserves mentioning, but Colorado and Michigan State, while both having great and interesting finishes, are not important enough to be mentioned in the header, particularly when you combine it with the absence of the 1945 Army game, and the 1969 and 2006 Ohio State-Michigan games, the '69 game in particular because Woody admitted that was his best team and the Wolverines cost the Buckeyes what would have surely been a national title since the Buckeyes were locked out of the Rose Bowl. If Colorado and Michigan State are worth mentioning, then so is 2010 Illinois and 2011 Notre Dame. Interesting, great games, but probably not worthy of being put in the header. Speaking of which, those games should be incorporated into the history section. That may be done by the time you read this.",0
"18:16, 24 Mar 2004 (UTC)
This is the discussion page for an anonymous user who has not created an account yet or who does not use it. We therefore have to use the numerical IP address to identify him/her. Such an IP address can be shared by several users. If you are an anonymous user and feel that irrelevant comments have been directed at you, please create an account or log in to avoid future confusion with other anonymous users.",0
"""

 Speedy deletion of """"Frugooscape"""" 

A page you created, Frugooscape, has been tagged for deletion in accordance with our deletion policy. In particular, it meets one or more criteria for speedy deletion; the relevant criterion is:

Patent nonsense and gibberish, an unsalvageably incoherent page with no meaningful content.

You are welcome to contribute content which complies with our content policies and any applicable inclusion guidelines. However, please do not simply re-create the page with the same content. You may also wish to read our introduction to editing and guide to writing your first article.

If you have any questions, please contact an administrator for assistance. Thank you  talk """,0
